wallet,n_pairs,top_pair_trades,total_pair_trades,total_pair_volume_eth,top_pair_tokens,pct_own_max,intensity_max,partners,round_trips_total,ring_appearances,ring_tokens,self_sale_eth,funder,funder_tag,avg_price_per_trade,flag_selfsale,flag_pingpong,flag_ring,flag_concentration,flag_attributed,detectors_fired,confidence,structure_type,collection_focus
0xa11308ddbe29d6a90744fcec7198bf98c4d8b203,1,31,31,5737,1,100,31,0x1bf1c8c2a4677eeb23ef22d26a59b4119c75c116,15,,,,,,185.06451612903226,0,1,0,1,0,2,medium,concentrated_pair,Terraforms
0x0d56bd2e07c531e92c6526962ad11fa954e63a50,1,30,30,5681,1,100,30,0xef5d775a282e44f2db520fe753c5541d7e32b57a,15,,,,,,189.36666666666667,0,1,0,1,0,2,medium,concentrated_pair,Terraforms
0xef5d775a282e44f2db520fe753c5541d7e32b57a,1,30,30,5681,1,100,30,0x0d56bd2e07c531e92c6526962ad11fa954e63a50,15,,,,,,189.36666666666667,0,1,0,1,0,2,medium,concentrated_pair,Terraforms
0x85f6d06d3d4caa52ae5464b3a814ec1d5c0df20b,1,43,43,5604,1,98,43,0x98d6368e767412f0b0462ce3e9e47ce8f5e40070,21,,,,,,130.32558139534885,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0x98d6368e767412f0b0462ce3e9e47ce8f5e40070,1,43,43,5604,1,98,43,0x85f6d06d3d4caa52ae5464b3a814ec1d5c0df20b,21,,,,,,130.32558139534885,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0x64b926f1edc1c332cce280b2c8f43e879b1ca7cc,1,33,33,5448,1,97,33,0xa8d7d9548accb515ff98a5e38e2e5fbd00ef78f8,16,,,,,,165.0909090909091,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0xa8d7d9548accb515ff98a5e38e2e5fbd00ef78f8,1,33,33,5448,1,100,33,0x64b926f1edc1c332cce280b2c8f43e879b1ca7cc,16,,,,,,165.0909090909091,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0x3726b14e9d8a09fb42c776f509535e23016cfc2b,1,47,47,5384,1,98,47,0xe0793323990b1e956a45e11300074f2ce61d18b9,23,,,,,,114.55319148936171,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0xe0793323990b1e956a45e11300074f2ce61d18b9,1,47,47,5384,1,98,47,0x3726b14e9d8a09fb42c776f509535e23016cfc2b,23,,,,,,114.55319148936171,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0x461a3dbe957486696ddf1147e9e0053da93571c2,1,85,85,5207,1,99,85,0x76686847a10a6d88f3bc890b4f7ab3dfad2e57d5,42,,,,,,61.258823529411764,0,1,0,1,0,2,medium,bilateral_mill,Meebits
0x76686847a10a6d88f3bc890b4f7ab3dfad2e57d5,1,85,85,5207,1,96,85,0x461a3dbe957486696ddf1147e9e0053da93571c2,42,,,,,,61.258823529411764,0,1,0,1,0,2,medium,bilateral_mill,Meebits
0xd828d238d03d80cbe54aa1c56b047dc80ad284e1,1,26,26,5171,1,93,26,0xe7be2f581decc12fbd1b2824bf541591cdaec7a3,13,,,,,,198.8846153846154,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0xe7be2f581decc12fbd1b2824bf541591cdaec7a3,1,26,26,5171,1,100,26,0xd828d238d03d80cbe54aa1c56b047dc80ad284e1,13,,,,,,198.8846153846154,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0x2560b0fc3c7cc12918d1418316fa4b0bcebc13fc,1,57,57,5156,1,100,57,0x944f9f9b31f4de729b60e2c0b89de7cbdd5ac878,28,,,,,,90.45614035087719,0,1,0,1,0,2,medium,bilateral_mill,Terraforms
0x944f9f9b31f4de729b60e2c0b89de7cbdd5ac878,1,57,57,5156,1,98,57,0x2560b0fc3c7cc12918d1418316fa4b0bcebc13fc,28,,,,,,90.45614035087719,0,1,0,1,0,2,medium,bilateral_mill,Terraforms
0x4b33887d2647dbe37d777934acbd252550eabe9a,1,61,61,5137,2,98,31,0x86cdba7e3b63a9fb72c1022c5da1aaf64f00ea03,30,,,,,,84.21311475409836,0,1,0,1,0,2,medium,concentrated_pair,Terraforms
0x86cdba7e3b63a9fb72c1022c5da1aaf64f00ea03,1,61,61,5137,2,80,31,0x4b33887d2647dbe37d777934acbd252550eabe9a,30,,,,,,84.21311475409836,0,1,0,1,0,2,medium,concentrated_pair,Terraforms
0x604a3ea98728ec51a37ad8b2a7541b1e3a43a805,1,34,34,4941,1,100,34,0x816d235579ce478eb9274f8c2dea48621b54892d,17,,,,,,145.3235294117647,0,1,0,1,0,2,medium,concentrated_pair,Terraforms
0x816d235579ce478eb9274f8c2dea48621b54892d,1,34,34,4941,1,100,34,0x604a3ea98728ec51a37ad8b2a7541b1e3a43a805,17,,,,,,145.3235294117647,0,1,0,1,0,2,medium,concentrated_pair,Terraforms
0x1237170368ccc4593511a885ae1af1aefc7a62a5,1,39,39,4862,1,100,39,0xb8ed6c7f1c6c29c57e512866b8e6fbc438858844,19,,,,,,124.66666666666667,0,1,0,1,0,2,medium,concentrated_pair,Terraforms
0xb8ed6c7f1c6c29c57e512866b8e6fbc438858844,1,39,39,4862,1,98,39,0x1237170368ccc4593511a885ae1af1aefc7a62a5,19,,,,,,124.66666666666667,0,1,0,1,0,2,medium,concentrated_pair,Terraforms
0x1e3d2775df5305bfbb0785d8604b91f7ddfd9b0c,1,28,28,4820,1,100,28,0x255579b0756d5f17bf6460c958ab5d0a11a34b83,14,,,,,,172.14285714285714,0,1,0,1,0,2,medium,concentrated_pair,Terraforms
0x255579b0756d5f17bf6460c958ab5d0a11a34b83,1,28,28,4820,1,100,28,0x1e3d2775df5305bfbb0785d8604b91f7ddfd9b0c,14,,,,,,172.14285714285714,0,1,0,1,0,2,medium,concentrated_pair,Terraforms
0x27cb10d612daddb5c9f7d2e8702fc9c47c78cd40,1,39,39,4808,1,98,39,0xb21a25049d2a6c5a45af5f88b7d4898284988e32,19,,,,,,123.28205128205128,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0xb21a25049d2a6c5a45af5f88b7d4898284988e32,1,39,39,4808,1,98,39,0x27cb10d612daddb5c9f7d2e8702fc9c47c78cd40,19,,,,,,123.28205128205128,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0x9c3d5f1330f0b872230e8ea312db9275910c8a82,1,25,25,4295,1,100,25,0xa9552226ba53c5dfce2ff3cfae86d83dce529444,12,,,,,,171.8,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0x2b43aec1a9af8e63e56f9b56e4ab37348bfad139,1,86,86,4282,1,100,86,0x7fbeaca8294771734b34911a108d1e36126863fc,43,,,,,,49.7906976744186,0,1,0,1,0,2,medium,bilateral_mill,Terraforms
0x7fbeaca8294771734b34911a108d1e36126863fc,1,86,86,4282,1,100,86,0x2b43aec1a9af8e63e56f9b56e4ab37348bfad139,43,,,,,,49.7906976744186,0,1,0,1,0,2,medium,bilateral_mill,Terraforms
0x23a085fbaad21201c9b1f39e9bdf70af60f752d3,1,30,30,4240,2,100,15,0xd2d4234866d7e1aab34f83082f1a3e8fbcdd26b1,14,,,,,,141.33333333333334,0,1,0,1,0,2,medium,concentrated_pair,Terraforms
0xd2d4234866d7e1aab34f83082f1a3e8fbcdd26b1,1,30,30,4240,2,100,15,0x23a085fbaad21201c9b1f39e9bdf70af60f752d3,14,,,,,,141.33333333333334,0,1,0,1,0,2,medium,concentrated_pair,Terraforms
0x1ffc039a3db1ec4eedf66ab3fb9b467a3bc1fc9d,1,27,27,4186,1,100,27,0xdbdd6f56d75b259a59eefd7fb985d22671423d43,13,,,,,,155.03703703703704,0,1,0,1,0,2,medium,concentrated_pair,Terraforms
0xdbdd6f56d75b259a59eefd7fb985d22671423d43,1,27,27,4186,1,100,27,0x1ffc039a3db1ec4eedf66ab3fb9b467a3bc1fc9d,13,,,,,,155.03703703703704,0,1,0,1,0,2,medium,concentrated_pair,Terraforms
0xf96f521131e921047c72adf10bb6fa5c697ec034,1,38,38,4005,1,95,38,0xfb613e8adf17cb1c58ae9001f6459de91198f9bc,18,,,,,,105.39473684210526,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0xfb613e8adf17cb1c58ae9001f6459de91198f9bc,1,38,38,4005,1,95,38,0xf96f521131e921047c72adf10bb6fa5c697ec034,18,,,,,,105.39473684210526,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0x469adaf766fb35f1a3c2569fe8c57a50f4b39131,1,39,39,3936,1,100,39,0x9ac9dcfd23ca73f06634dc964a6c16f7e6daa986,19,,,,,,100.92307692307692,0,1,0,1,0,2,medium,concentrated_pair,Loot
0x9ac9dcfd23ca73f06634dc964a6c16f7e6daa986,1,39,39,3936,1,100,39,0x469adaf766fb35f1a3c2569fe8c57a50f4b39131,19,,,,,,100.92307692307692,0,1,0,1,0,2,medium,concentrated_pair,Loot
0x3af6713da6f79ad41a55514f3d4dad7ca226942d,1,43,43,3867,1,100,43,0x7b0533a5da47816676be232c620981d0ee20e013,21,,,,,,89.93023255813954,0,1,0,1,0,2,medium,concentrated_pair,Terraforms
0x7b0533a5da47816676be232c620981d0ee20e013,1,43,43,3867,1,100,43,0x3af6713da6f79ad41a55514f3d4dad7ca226942d,21,,,,,,89.93023255813954,0,1,0,1,0,2,medium,concentrated_pair,Terraforms
0x2a0ef2a2726f507baf3c05fbc95c7b9c3515009b,1,24,24,3748,1,92,24,0x442c061ce8eeff8ce5c5a20a35c9da7681ab002c,12,,,,,,156.16666666666666,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0x442c061ce8eeff8ce5c5a20a35c9da7681ab002c,1,24,24,3748,1,100,24,0x2a0ef2a2726f507baf3c05fbc95c7b9c3515009b,12,,,,,,156.16666666666666,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0x12b12085b407f449aef9ddc312d00b5738a50e1b,1,47,47,3695,1,98,47,0xe9eb93dec938b90c87563fd72c7716e35a64fd56,23,,,,,,78.61702127659575,0,1,0,1,0,2,medium,concentrated_pair,Terraforms
0xe9eb93dec938b90c87563fd72c7716e35a64fd56,1,47,47,3695,1,100,47,0x12b12085b407f449aef9ddc312d00b5738a50e1b,23,,,,,,78.61702127659575,0,1,0,1,0,2,medium,concentrated_pair,Terraforms
0x6f0ba4a2ecba44116f3da9942abee62e97bc36ed,1,73,73,2737,2,99,37,0xd6b764b822aa482913992073598c4690527a3a83,36,,,,,,37.49315068493151,0,1,0,1,0,2,medium,concentrated_pair,Loot
0xd6b764b822aa482913992073598c4690527a3a83,1,73,73,2737,2,99,37,0x6f0ba4a2ecba44116f3da9942abee62e97bc36ed,36,,,,,,37.49315068493151,0,1,0,1,0,2,medium,concentrated_pair,Loot
0xa43c01f5106ce315db2fb726028cc75b0ad1ddc7,1,20,20,2538,2,100,10,0xe6f3fd8abb61ca6417d386e67e9596c3492d49a4,10,,,,,,126.9,0,1,0,1,0,2,medium,concentrated_pair,Loot
0xc67f86944736681996d5d2b0891ece8103da5db8,1,27,27,2430,1,100,27,0xd327d751211921201277da07c556f18be8b4cf29,13,,,,,,90,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0xd327d751211921201277da07c556f18be8b4cf29,1,27,27,2430,1,100,27,0xc67f86944736681996d5d2b0891ece8103da5db8,13,,,,,,90,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0x247ec63eba41edecfa96a46d732c5376f437b78e,1,58,58,2367,2,100,29,0x3eb12b7e49f1a95fbd2943d1547be152883e526f,29,,,,,,40.810344827586206,0,1,0,1,0,2,medium,concentrated_pair,Meebits
0x3eb12b7e49f1a95fbd2943d1547be152883e526f,1,58,58,2367,2,95,29,0x247ec63eba41edecfa96a46d732c5376f437b78e,29,,,,,,40.810344827586206,0,1,0,1,0,2,medium,concentrated_pair,Meebits
